Datum deutsch	Nacht	Tag	Nacht	Sunrise Sommerzeit	Sunset Sommerzeit	Datum englisch
12.11.2019	08:46:36	08:38:50	06:34:34	08:46:36	17:25:26	2019-11-12
13.11.2019	08:48:35	08:35:08	06:36:17	08:48:35	17:23:43	2019-11-13
14.11.2019	08:50:34	08:31:29	06:37:57	08:50:34	17:22:03	2019-11-14
15.11.2019	08:52:31	08:27:54	06:39:35	08:52:31	17:20:25	2019-11-15
16.11.2019	08:54:29	08:24:21	06:41:10	08:54:29	17:18:50	2019-11-16
17.11.2019	08:56:25	08:20:52	06:42:43	08:56:25	17:17:17	2019-11-17
18.11.2019	08:58:20	08:17:26	06:44:14	08:58:20	17:15:46	2019-11-18
19.11.2019	09:00:15	08:14:03	06:45:42	09:00:15	17:14:18	2019-11-19
20.11.2019	09:02:09	08:10:44	06:47:07	09:02:09	17:12:53	2019-11-20
21.11.2019	09:04:01	08:07:29	06:48:30	09:04:01	17:11:30	2019-11-21
22.11.2019	09:05:52	08:04:18	06:49:50	09:05:52	17:10:10	2019-11-22
23.11.2019	09:07:42	08:01:11	06:51:07	09:07:42	17:08:53	2019-11-23
24.11.2019	09:09:31	07:58:09	06:52:20	09:09:31	17:07:40	2019-11-24
25.11.2019	09:11:18	07:55:11	06:53:31	09:11:18	17:06:29	2019-11-25
26.11.2019	09:13:04	07:52:17	06:54:39	09:13:04	17:05:21	2019-11-26
27.11.2019	09:14:48	07:49:28	06:55:44	09:14:48	17:04:16	2019-11-27
28.11.2019	09:16:30	07:46:45	06:56:45	09:16:30	17:03:15	2019-11-28
29.11.2019	09:18:10	07:44:07	06:57:43	09:18:10	17:02:17	2019-11-29
30.11.2019	09:19:49	07:41:33	06:58:38	09:19:49	17:01:22	2019-11-30
01.12.2019	09:21:25	07:39:06	06:59:29	09:21:25	17:00:31	2019-12-01
02.12.2019	09:22:59	07:36:44	07:00:17	09:22:59	16:59:43	2019-12-02
03.12.2019	09:24:31	07:34:27	07:01:02	09:24:31	16:58:58	2019-12-03
04.12.2019	09:26:00	07:32:18	07:01:42	09:26:00	16:58:18	2019-12-04
05.12.2019	09:27:27	07:30:14	07:02:19	09:27:27	16:57:41	2019-12-05
06.12.2019	09:28:52	07:28:15	07:02:53	09:28:52	16:57:07	2019-12-06
07.12.2019	09:30:13	07:26:25	07:03:22	09:30:13	16:56:38	2019-12-07
08.12.2019	09:31:32	07:24:40	07:03:48	09:31:32	16:56:12	2019-12-08
09.12.2019	09:32:48	07:23:02	07:04:10	09:32:48	16:55:50	2019-12-09
10.12.2019	09:34:01	07:21:31	07:04:28	09:34:01	16:55:32	2019-12-10
11.12.2019	09:35:11	07:20:07	07:04:42	09:35:11	16:55:18	2019-12-11
12.12.2019	09:36:18	07:18:49	07:04:53	09:36:18	16:55:07	2019-12-12
13.12.2019	09:37:22	07:17:39	07:04:59	09:37:22	16:55:01	2019-12-13
14.12.2019	09:38:22	07:16:37	07:05:01	09:38:22	16:54:59	2019-12-14
15.12.2019	09:39:19	07:15:42	07:04:59	09:39:19	16:55:01	2019-12-15
16.12.2019	09:40:12	07:14:54	07:04:54	09:40:12	16:55:06	2019-12-16
17.12.2019	09:41:02	07:14:14	07:04:44	09:41:02	16:55:16	2019-12-17
18.12.2019	09:41:48	07:13:42	07:04:30	09:41:48	16:55:30	2019-12-18
19.12.2019	09:42:30	07:13:18	07:04:12	09:42:30	16:55:48	2019-12-19
20.12.2019	09:43:09	07:13:00	07:03:51	09:43:09	16:56:09	2019-12-20
21.12.2019	09:43:44	07:12:51	07:03:25	09:43:44	16:56:35	2019-12-21
22.12.2019	09:44:15	07:12:50	07:02:55	09:44:15	16:57:05	2019-12-22
23.12.2019	09:44:43	07:12:55	07:02:22	09:44:43	16:57:38	2019-12-23
24.12.2019	09:45:06	07:13:10	07:01:44	09:45:06	16:58:16	2019-12-24
25.12.2019	09:45:25	07:13:32	07:01:03	09:45:25	16:58:57	2019-12-25
26.12.2019	09:45:41	07:14:01	07:00:18	09:45:41	16:59:42	2019-12-26
27.12.2019	09:45:53	07:14:38	06:59:29	09:45:53	17:00:31	2019-12-27
28.12.2019	09:46:00	07:15:23	06:58:37	09:46:00	17:01:23	2019-12-28
29.12.2019	09:46:04	07:16:15	06:57:41	09:46:04	17:02:19	2019-12-29
30.12.2019	09:46:04	07:17:15	06:56:41	09:46:04	17:03:19	2019-12-30
31.12.2019	09:46:00	07:18:22	06:55:38	09:46:00	17:04:22	2019-12-31
